prop0,CO0,prop1,CO1,prop2,CO2,sequence
4,32,4,31,4,32,450
4,32,4,31,4,32,729
4,32,4,31,4,32,1007
4,32,4,31,4,32,1286
4,32,4,31,4,32,1564
4,32,4,31,4,32,1843
4,32,4,31,4,32,2122
4,32,4,31,4,32,2401
4,32,4,31,4,32,2679
4,32,4,31,4,32,2958
4,32,4,31,4,32,3236
4,32,4,31,4,32,3515
4,32,4,31,4,32,3793
4,32,4,31,4,32,4072
4,32,4,31,4,32,4350
4,32,4,31,4,32,4629
4,32,4,31,4,32,4908
4,32,4,31,4,32,5186
4,32,4,31,4,32,5465
4,32,4,31,4,32,5744
4,32,4,31,4,32,6023
4,32,4,31,4,32,6301
4,32,4,31,4,32,6580
4,32,4,31,4,32,6858
4,32,4,31,4,32,7137
4,32,4,31,4,32,7415
4,32,4,31,4,32,7694
4,32,4,31,4,32,7972
4,32,4,31,4,32,8251
4,32,4,31,4,32,8529
4,32,4,31,4,32,8808
4,32,4,31,4,32,9086
4,32,4,31,4,32,9366
4,32,4,31,4,32,9645
4,32,4,31,4,32,9923
4,32,4,31,4,32,10202
4,32,4,31,4,32,10480
4,32,4,31,4,32,10759
4,32,4,31,4,32,11037
4,32,4,31,4,32,11316
4,32,4,31,4,32,11594
4,32,4,31,4,32,11874
4,32,4,31,4,32,12152
4,32,4,31,4,32,12431
4,32,4,31,4,32,12709
4,32,4,31,4,32,12988
4,32,4,31,4,32,13266
10,79,9,84,8,67,13545
11,85,11,93,12,88,13824
14,96,13,99,14,89,14102
13,102,16,109,14,110,14382
13,118,18,121,15,112,14660
12,107,21,137,17,120,14939
10,94,17,131,19,124,15217
10,85,15,127,20,122,15496
8,88,12,118,19,119,15774
6,71,9,109,19,112,16053
5,65,6,98,17,105,16331
4,53,5,85,14,92,16610
6,55,8,91,17,106,16889
8,77,10,101,16,105,17168
10,79,13,102,19,121,17446
12,85,14,105,20,117,17725
13,92,14,107,18,114,18003
14,110,15,107,18,113,18282
16,124,15,111,17,118,18561
17,135,16,112,19,120,18839
17,138,17,120,22,129,19118
17,134,16,119,21,131,19397
18,140,17,123,20,127,19676
17,132,19,159,18,126,19954
17,128,18,152,19,125,20233
15,115,18,149,18,118,20511
8,93,15,131,14,106,20790
6,88,11,120,12,102,21068
5,70,9,110,9,96,21347
4,55,9,93,7,87,21626
3,46,7,86,5,77,21905
4,36,6,69,5,70,22183
4,32,5,65,5,58,22462
4,32,4,50,4,50,22740
4,31,4,37,4,48,23019
4,32,4,33,4,42,23298
4,32,4,31,4,38,23576
4,32,4,31,4,35,23855
4,32,4,31,4,32,24134
4,32,4,31,4,32,24413
4,32,4,31,4,32,24691
4,32,4,31,4,32,24970
4,32,4,31,4,32,25248
