prop0,CO0,prop1,CO1,prop2,CO2,sequence
4,32,4,31,4,32,450
4,32,4,31,4,32,729
4,32,4,31,4,32,1007
4,32,4,31,4,32,1286
4,32,4,31,4,32,1564
4,32,4,31,4,32,1843
4,32,4,31,4,32,2122
4,32,4,31,4,32,2401
4,32,4,31,4,32,2679
4,32,4,31,4,32,2958
4,32,4,31,4,32,3236
4,32,4,31,4,32,3515
4,32,4,31,4,32,3793
7,45,9,59,8,50,4072
8,57,11,76,8,52,4350
10,65,12,82,9,67,4629
11,89,11,84,10,89,4908
12,92,13,96,11,92,5186
12,95,15,117,10,95,5465
12,96,14,115,12,106,5743
13,112,14,123,13,117,6023
14,120,13,116,14,119,6301
13,115,11,108,13,114,6580
13,111,10,105,13,113,6858
12,107,8,99,12,107,7137
12,104,7,95,10,92,7415
10,96,7,91,9,89,7694
7,92,6,83,8,77,7972
6,85,5,79,7,65,8251
5,72,4,73,8,65,8529
5,60,5,68,7,58,8808
4,55,4,61,6,52,9086
4,47,5,59,5,49,9365
4,38,4,52,5,46,9645
4,35,4,46,4,40,9923
4,36,4,41,4,38,10202
4,34,4,38,4,35,10480
4,33,4,35,4,33,10759
4,32,4,32,4,32,11037
4,32,4,31,4,34,11316
4,32,4,31,4,32,11594
4,32,4,34,4,34,11873
4,32,4,31,4,32,12152
4,32,4,32,4,32,12431
4,32,4,33,4,32,12709
4,32,4,31,4,34,12988
4,32,4,31,4,32,13266
4,32,4,32,4,32,13545
4,32,4,31,4,34,13825
4,32,4,31,4,33,14103
4,32,4,31,4,32,14382
4,32,4,32,4,32,14660
4,32,4,31,4,32,14939
4,32,4,31,4,32,15217
4,33,4,31,4,32,15496
4,32,4,31,4,32,15775
4,32,4,32,4,33,16054
4,32,4,31,4,32,16332
4,32,4,31,4,33,16611
4,33,4,32,4,32,16889
5,40,5,46,4,51,17168
5,47,4,60,5,70,17446
6,66,15,152,21,277,17726
7,66,17,110,15,170,18004
6,54,13,120,11,118,18283
5,45,11,101,8,82,18562
5,42,9,87,7,81,18840
4,39,7,68,8,76,19119
5,37,7,53,6,68,19397
4,34,5,55,5,62,19677
4,34,4,52,5,58,19955
4,34,5,48,5,52,20234
4,34,4,43,5,47,20512
4,34,4,42,5,42,20791
4,33,4,41,5,38,21069
4,33,4,38,5,38,21348
4,33,4,36,5,38,21627
4,34,5,36,5,37,21906
4,33,5,34,4,38,22184
4,32,4,35,5,38,22463
4,33,4,33,4,37,22742
4,32,4,33,4,37,23020
4,32,4,33,4,37,23299
4,32,4,33,4,37,23578
4,32,4,33,4,37,23857
4,32,4,33,4,37,24135
4,32,4,33,4,37,24414
4,32,4,33,4,37,24692
4,32,4,33,4,37,24971
4,32,4,33,4,37,25249
4,32,4,33,4,37,25529
4,32,4,33,4,37,25807
