prop0,CO0,prop1,CO1,prop2,CO2,sequence
4,31,4,31,4,32,450
4,30,4,31,4,32,729
4,31,4,31,4,32,1007
4,31,4,31,4,33,1286
4,31,4,31,4,32,1564
4,31,4,31,4,32,1843
4,31,4,31,4,32,2121
4,30,4,31,4,32,2401
4,31,4,31,4,32,2679
4,31,4,31,4,32,2958
4,31,4,31,4,32,3236
4,30,4,31,4,32,3515
4,31,4,31,4,32,3793
4,31,4,31,4,32,4072
4,31,4,31,4,32,4350
4,30,4,31,4,32,4629
4,31,4,31,4,32,4908
4,31,4,31,4,32,5186
4,30,4,31,4,32,5465
4,31,4,31,4,32,5743
4,31,4,31,4,32,6022
4,31,4,31,4,32,6300
4,30,4,31,4,32,6579
4,30,4,31,4,32,6858
4,31,4,31,4,32,7137
4,31,4,31,4,32,7415
4,31,4,31,4,32,7694
4,31,4,31,4,32,7972
4,31,4,31,4,32,8251
4,31,4,31,4,32,8529
4,31,4,31,4,32,8808
4,31,4,31,4,32,9086
4,30,4,31,4,32,9365
4,30,4,31,4,32,9644
4,31,4,31,4,32,9922
4,30,4,31,4,32,10201
4,30,4,31,4,32,10479
4,31,4,31,4,32,10758
4,30,4,31,4,32,11037
4,30,4,31,4,32,11316
4,31,4,31,4,32,11594
4,30,4,31,4,32,11873
4,30,4,31,4,32,12151
4,30,4,31,4,32,12430
4,30,4,31,4,32,12708
4,31,4,31,4,32,12987
4,30,4,31,4,32,13265
4,30,4,31,4,32,13544
4,31,4,31,4,32,13824
4,30,4,31,4,32,14102
4,30,4,31,4,32,14381
4,31,4,31,4,32,14659
4,30,4,31,4,32,14938
4,30,4,31,4,32,15216
4,30,4,31,4,32,15495
4,30,4,31,4,32,15773
4,30,4,31,4,32,16052
4,31,4,31,4,32,16331
4,31,4,31,4,32,16610
4,30,4,31,4,32,16888
4,31,4,31,4,32,17167
4,31,4,31,4,32,17445
4,31,4,31,4,32,17724
4,31,4,31,4,32,18002
6,69,9,89,14,175,18281
8,78,10,67,12,132,18560
7,64,7,54,10,97,18838
6,57,5,40,9,89,19118
6,53,5,38,8,81,19396
6,49,5,38,7,71,19675
5,45,5,38,7,65,19953
5,45,5,38,6,60,20232
5,43,5,38,6,57,20510
5,43,5,38,6,55,20789
4,30,4,31,4,32,21067
4,32,4,31,4,32,21346
4,33,4,31,4,32,21624
4,33,4,31,4,32,21904
4,33,4,31,4,32,22182
4,33,4,31,4,32,22461
4,33,4,31,4,32,22739
4,31,4,31,4,32,23018
4,33,4,31,4,32,23297
4,38,4,31,4,32,23575
4,30,4,31,4,32,23854
4,31,4,31,4,32,24132
4,30,4,31,4,32,24411
4,31,4,31,4,32,24690
4,31,4,31,4,32,24969
4,31,4,31,4,32,25247
4,30,4,31,4,32,25526
4,31,4,31,4,32,25804
