prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
5,38,8,82,10,105,177,0,0
5,38,8,82,10,105,178,0,0
5,42,8,82,10,105,179,0,0
5,42,8,82,9,98,180,0,0
5,42,8,78,9,98,181,0,0
5,46,8,78,9,98,182,0,0
5,46,8,74,9,90,183,0,0
6,50,8,74,9,90,184,0,0
6,50,7,71,9,90,185,0,0
6,50,7,68,8,84,186,0,0
6,50,7,68,8,84,187,0,0
6,50,7,65,8,84,188,0,0
6,55,7,65,8,84,189,0,0
6,55,7,62,8,78,190,0,0
6,55,7,62,8,78,191,0,0
6,55,6,62,8,78,192,0,0
6,55,6,59,8,78,193,0,0
6,55,6,59,8,78,194,0,0
6,55,6,57,8,78,195,0,0
6,55,6,57,8,78,196,0,0
6,55,6,57,8,78,197,0,0
6,55,6,54,8,78,198,0,0
6,55,6,54,8,73,199,0,0
6,55,6,54,7,73,200,0,0
6,55,6,54,7,73,201,0,0
6,55,6,54,7,73,202,0,0
6,55,6,52,7,73,203,0,0
6,55,6,52,7,73,204,0,0
6,55,6,52,7,73,205,0,0
6,55,6,52,7,73,206,0,0
6,55,6,50,7,73,207,0,0
6,55,6,50,7,68,208,0,0
6,55,6,50,7,68,209,0,0
6,55,6,50,7,68,210,0,0
