prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
4,30,4,38,5,38,1,0,0
4,30,4,38,5,38,2,0,0
4,30,4,38,5,38,3,0,0
4,30,4,38,5,38,4,0,0
4,30,4,38,5,38,5,0,0
4,30,4,38,5,38,6,0,0
4,30,4,38,5,38,7,0,0
4,30,4,38,5,38,8,0,0
4,30,4,38,5,38,9,0,0
4,30,4,38,5,38,10,0,0
4,30,4,38,5,38,11,0,0
4,30,4,38,5,38,12,0,0
4,30,4,38,5,38,13,0,0
4,30,4,38,5,38,14,0,0
4,30,4,38,5,38,15,0,0
4,30,4,38,5,38,16,0,0
4,30,4,38,5,38,17,0,0
4,30,4,38,5,38,18,0,0
4,30,4,38,5,38,19,0,0
4,30,4,38,5,38,20,0,0
4,30,4,39,5,38,21,0,0
4,30,4,38,5,38,22,0,0
4,30,4,38,5,38,23,0,0
4,30,4,38,5,38,24,0,0
4,30,4,38,5,38,25,0,0
4,30,4,38,5,38,26,0,0
4,30,4,38,5,38,27,0,0
4,30,4,38,5,38,28,0,0
4,30,4,38,5,38,29,0,0
4,30,4,38,5,38,30,0,0
4,30,4,38,5,38,31,0,0
4,30,4,38,5,38,32,0,0
4,30,4,38,5,38,33,0,0
4,30,4,38,5,38,34,0,0
5,50,4,38,5,38,35,0,0
6,55,24,370,11,124,36,0,0
6,61,16,271,13,162,37,0,0
7,67,60,774,14,162,38,0,0
6,55,60,1219,15,178,39,0,0
5,46,55,963,16,196,40,0,0
5,46,37,574,17,217,41,0,0
5,46,24,341,20,267,42,0,0
5,42,19,235,20,267,43,0,0
6,50,15,191,18,240,44,0,0
5,46,15,179,20,267,45,0,0
5,46,15,191,18,240,46,0,0
5,46,16,205,18,240,47,0,0
5,42,17,235,17,217,48,0,0
5,42,19,252,17,196,49,0,0
5,42,19,252,16,196,50,0,0
5,42,18,235,15,178,51,0,0
5,42,16,191,15,162,52,0,0
5,42,14,168,14,162,53,0,0
5,38,12,140,13,148,54,0,0
5,38,12,132,12,135,55,0,0
5,38,11,118,12,135,56,0,0
5,38,11,118,12,135,57,0,0
5,38,11,118,11,124,58,0,0
5,38,11,118,11,124,59,0,0
5,38,11,118,11,114,60,0,0
5,38,11,118,11,114,61,0,0
4,35,11,118,10,105,62,0,0
4,35,11,112,10,105,63,0,0
4,35,11,112,9,98,64,0,0
4,35,10,112,9,90,65,0,0
4,35,11,118,9,90,66,0,0
4,35,11,118,9,90,67,0,0
4,35,10,112,9,90,68,0,0
4,35,10,112,9,84,69,0,0
4,35,10,106,8,84,70,0,0
4,35,10,100,8,78,71,0,0
4,33,9,91,8,78,72,0,0
4,33,9,86,8,78,73,0,0
4,33,8,82,7,73,74,0,0
4,33,8,78,7,73,75,0,0
4,33,8,74,7,73,76,0,0
4,33,7,71,7,68,77,0,0
4,33,7,68,7,68,78,0,0
4,33,7,68,7,68,79,0,0
4,33,7,65,7,68,80,0,0
4,33,7,62,7,68,81,0,0
4,33,7,62,7,68,82,0,0
4,33,6,59,7,68,83,0,0
4,33,6,59,7,63,84,0,0
4,33,6,57,7,63,85,0,0
4,33,6,54,7,63,86,0,0
